date,consumption_kwh,device
2022-02-18 15:00:00-03:00,0.1430396569,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-18 16:00:00-03:00,0.1576036872,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-18 17:00:00-03:00,0.1653199981,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-18 18:00:00-03:00,0.2265357639,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-18 19:00:00-03:00,0.1618390161,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-18 20:00:00-03:00,0.1112378987,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-18 21:00:00-03:00,0.1095211769,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-18 22:00:00-03:00,0.1091301336,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-18 23:00:00-03:00,0.0989242915,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-19 00:00:00-03:00,0.1393607853,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-19 01:00:00-03:00,0.1902761402,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-19 02:00:00-03:00,0.1662687128,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-19 03:00:00-03:00,0.1529525112,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-19 04:00:00-03:00,0.1521496936,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-19 05:00:00-03:00,0.1498898649,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-19 06:00:00-03:00,0.1512198857,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-19 07:00:00-03:00,0.1375851478,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-19 08:00:00-03:00,0.1011931864,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-19 09:00:00-03:00,0.0934309106,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-19 10:00:00-03:00,0.2278872596,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-19 11:00:00-03:00,0.2472044707,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-19 12:00:00-03:00,0.1924800129,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-19 13:00:00-03:00,0.2001973492,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-19 14:00:00-03:00,0.2431723944,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-19 15:00:00-03:00,0.1358041143,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-19 16:00:00-03:00,0.1671744626,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-19 17:00:00-03:00,0.2524300625,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-19 18:00:00-03:00,0.2520642774,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-19 19:00:00-03:00,0.1595460076,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-19 20:00:00-03:00,0.1272283406,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-19 21:00:00-03:00,0.1193547245,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-19 22:00:00-03:00,0.126465413,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-19 23:00:00-03:00,0.1408853206,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-20 00:00:00-03:00,0.1261469326,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-20 01:00:00-03:00,0.1548044344,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-20 02:00:00-03:00,0.1494773508,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-20 03:00:00-03:00,0.1488429097,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-20 04:00:00-03:00,0.1748527817,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-20 05:00:00-03:00,0.1510528913,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-20 06:00:00-03:00,0.1471808621,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-20 07:00:00-03:00,0.1455608646,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-20 08:00:00-03:00,0.1327314016,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-20 09:00:00-03:00,0.2693670541,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-20 10:00:00-03:00,0.227312526,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-20 11:00:00-03:00,0.1565701926,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-20 12:00:00-03:00,0.1777754951,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-20 13:00:00-03:00,0.1561316917,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-20 14:00:00-03:00,0.1157373784,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-20 15:00:00-03:00,0.0939667372,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-20 16:00:00-03:00,0.1428757429,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-20 17:00:00-03:00,0.2557474199,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-20 18:00:00-03:00,0.1662060471,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-20 19:00:00-03:00,0.1320495011,a32ab0af-970c-11ec-9779-a463a116a9e2
